,Difference (|)
719,-56.92505194031668
720,-60.45654800898144
721,-63.68402434316324
722,-45.430058036558755
723,-65.11578793576093
724,-49.04156940640385
725,-52.47707817364284
726,-59.442097536520336
727,-72.16345199796827
728,-49.56995905808297
729,-64.245957082409
730,-54.67550394841601
731,-49.606630188246356
732,-61.7154787361299
733,-40.88303626972683
734,-49.70592795915955
735,-51.179513449069454
736,-47.87050441316561
737,-47.49791921799712
738,-42.18693083116202
739,-51.492106605050935
740,-53.14970039104031
741,-55.677643913426415
742,-47.971904338943645
743,-51.88393097882861
744,-60.73124030988793
745,-45.82925003819448
746,-55.977939794260934
747,-67.56623812294805
748,-51.66700938914221
749,-51.187970254686476
750,-51.28545563492168
751,-50.44347432542833
752,-56.86291619252255
753,-48.11999124749797
754,-58.430974627419
755,-46.08286875809159
756,-42.24704606729741
757,-42.608985807943675
758,-55.982862281543774
759,-71.22761224764565
760,-41.51411953746999
761,-48.40417217793794
762,-48.12321230760411
763,-65.06413277767604
764,-52.29936206992581
765,-57.356840383421
766,-37.651767670831305
767,-54.539320317992136
768,-55.762095947594965
769,-54.95923130487305
770,-40.59209462330889
771,-45.124415497881216
772,-55.84748904035604
773,-51.743346319167685
774,-56.1041399870136
775,-43.783548275345325
776,-56.56687834591125
777,-51.08546607530673
778,-56.941153691570854
779,-52.90581185838088
780,-52.90541069346617
781,-65.72481610114745
782,-53.01219400974696
783,-42.45359344910397
784,-48.33898808030242
785,-50.66683243319757
786,-49.824254119408536
787,-42.33436891724076
788,-42.898858810796064
789,-38.32574890836371
790,-43.77311639139371
791,-62.77217886241655
792,-42.25950806024612
793,-54.773341169635714
794,-54.11726237271867
795,-54.61408825380172
796,-50.95843022936539
797,-58.499789647535046
798,-61.29527100385661
799,-51.895145192084776
800,-52.872456371335865
801,-59.02262159991161
802,-52.77387522600514
803,-58.19126064559607
804,-60.63845731630751
805,-36.67902440495237
806,-47.46759882086157
807,-49.206578384244466
808,-51.229285785029646
809,-51.22019718850965
810,-41.93098067379844
811,-46.02696036376863
812,-47.706644836513156
813,-58.50893509184522
814,-48.096788325789326
815,-42.89323043625254
816,-46.15591076393968
817,-44.51896281803389
818,-42.70563974257819
819,-55.870746687012755
820,-33.02765753582235
821,-45.835355529991666
822,-47.189027180643585
823,-48.15334499013407
824,-39.632281448685085
825,-56.40142926985282
826,-55.49114592560236
827,-48.98055842892322
828,-46.48181732082295
829,-46.08707819221538
830,-39.55287677403916
831,-45.23023567401199
832,-40.27308587513997
833,-53.366540793429834
834,-54.49444097908019
835,-44.79648517057103
836,-48.91726530435347
837,-48.72188081562532
838,-40.80381641196341
839,-49.71959710145213
840,-39.92072434497276
841,-61.675907273421956
842,-47.713852800665336
843,-54.01060271295084
844,-51.04176371308117
845,-47.12942881002472
846,-52.31183331421983
847,-48.26034007617192
848,-46.778301855612405
849,-58.53569636375729
850,-54.01918997656761
851,-46.09290851296258
852,-42.95838422978591
853,-56.166820479576586
854,-54.64675811488292
855,-52.93689248599685
856,-52.78359075556066
857,-47.114258198302494
858,-48.52809487920954
859,-41.31940429066129
860,-54.02032817926715
861,-51.53495311959522
862,-56.15760600360765
863,-65.43704821675708
864,-60.49585272413571
865,-46.4053524158829
866,-50.98905829417032
867,-40.16929447976244
868,-51.18055772450074
869,-54.17245244567175
870,-37.56351483082522
871,-45.17942019564311
872,-48.05685644808029
873,-44.827261624289356
874,-40.694112776156764
875,-50.270701053584986
876,-38.62049951120994
877,-45.26352353933899
878,-54.40808771824719
879,-43.91044876216869
880,-51.50928538517071
881,-50.23611664634558
882,-43.13883241863936
883,-58.88033314129856
884,-51.875851520087686
885,-53.17036895326443
886,-51.41256223181241
887,-60.67896635454128
888,-56.31412222762911
889,-39.22784342311928
890,-42.56237162580122
891,-46.102406667428845
892,-48.52685873617185
893,-42.33068103350822
894,-34.45635089236267
895,-38.41755142445992
896,-39.529861642668294
897,-40.98096238993682
898,-36.83319371814734
899,-45.58657206752308
900,-39.17160769491031
901,-35.519204567016644
902,-52.9518430552334
903,-37.10262131494224
904,-46.82768513152222
905,-36.56241256405703
906,-42.922813048317224
907,-38.58641354063397
908,-32.96895876571764
909,-27.27025332043631
910,-30.49359910197091
911,-32.58631013927172
912,-46.47070215453696
913,-38.06957739618957
914,-34.7429931764949
915,-26.225893713693146
916,-48.205381636286084
917,-51.508338370527504
918,-33.345735789326895
919,-67.69922873140602
920,-40.11018608111119
921,-33.566747071825056
922,-55.233295594811345
923,-41.08485506208058
924,-50.5845654188008
925,-57.95892332930206
926,-42.6501616819379
927,-50.56302650143174
928,-39.10756560186073
929,-45.305915744531674
930,-40.06081951630716
931,-29.421520917595306
932,-41.68086607437481
933,-41.59151596134037
934,-34.600609902178334
935,-35.5799006625411
936,-35.01980793073658
937,-43.06011679056007
938,-36.429906013690456
939,-44.743474090259475
940,-48.984134509419405
941,-33.22840717802208
